x,rho,vx,P,E
1.25000000e-03,4.45000991e-01,6.97991906e-01,3.52801309e+00,5.40015567e+00
3.75000000e-03,4.45004577e-01,6.97962616e-01,3.52806047e+00,5.40021851e+00
6.25000000e-03,4.45006144e-01,6.97949808e-01,3.52808119e+00,5.40024599e+00
8.75000000e-03,4.44998595e-01,6.98011479e-01,3.52798143e+00,5.40011368e+00
1.12500000e-02,4.44989757e-01,6.98083673e-01,3.52786465e+00,5.39995879e+00
1.37500000e-02,4.44983685e-01,6.98133270e-01,3.52778443e+00,5.39985238e+00
1.62500000e-02,4.44983847e-01,6.98131946e-01,3.52778657e+00,5.39985522e+00
1.87500000e-02,4.45015328e-01,6.97874791e-01,3.52820255e+00,5.40040695e+00
2.12500000e-02,4.45040591e-01,6.97668428e-01,3.52853638e+00,5.40084975e+00
2.37500000e-02,4.45060576e-01,6.97505192e-01,3.52880047e+00,5.40120005e+00
2.62500000e-02,4.45016822e-01,6.97862593e-01,3.52822230e+00,5.40043316e+00
2.87500000e-02,4.44935896e-01,6.98523661e-01,3.52715299e+00,5.39901493e+00
3.12500000e-02,4.44879229e-01,6.98986623e-01,3.52640433e+00,5.39802208e+00
3.37500000e-02,4.44835741e-01,6.99341940e-01,3.52582984e+00,5.39726028e+00
3.62500000e-02,4.44956448e-01,6.98355625e-01,3.52742462e+00,5.39937514e+00
3.87500000e-02,4.45172539e-01,6.96590820e-01,3.53028023e+00,5.40316308e+00
4.12500000e-02,4.45334899e-01,6.95264851e-01,3.53242651e+00,5.40601078e+00
4.37500000e-02,4.45466078e-01,6.94193650e-01,3.53416120e+00,5.40831287e+00
4.62500000e-02,4.45217935e-01,6.96220443e-01,3.53088052e+00,5.40395965e+00
4.87500000e-02,4.44716481e-01,7.00316708e-01,3.52425442e+00,5.39517148e+00
5.12500000e-02,4.44266803e-01,7.03992450e-01,3.51831687e+00,5.38730194e+00
5.37500000e-02,4.43953755e-01,7.06552224e-01,3.51418650e+00,5.38183061e+00
5.62500000e-02,4.43925165e-01,7.06785518e-01,3.51381134e+00,5.38133395e+00
5.87500000e-02,4.45157065e-01,6.96719406e-01,3.53007741e+00,5.40289498e+00
6.12500000e-02,4.46225272e-01,6.87997788e-01,3.54420653e+00,5.42165234e+00
6.37500000e-02,4.47103719e-01,6.80833438e-01,3.55584307e+00,5.43712186e+00
6.62500000e-02,4.47683040e-01,6.76129067e-01,3.56352869e+00,5.44735504e+00
6.87500000e-02,4.47716933e-01,6.75845698e-01,3.56398558e+00,5.44796234e+00
7.12500000e-02,4.45168683e-01,6.96636404e-01,3.53023203e+00,5.40310398e+00
7.37500000e-02,4.42819558e-01,7.15822264e-01,3.49923032e+00,5.36203376e+00
7.62500000e-02,4.40765884e-01,7.32700669e-01,3.47223160e+00,5.32639963e+00
7.87500000e-02,4.39329241e-01,7.44508195e-01,3.45340017e+00,5.30159971e+00
8.12500000e-02,4.39132838e-01,7.46106954e-01,3.45085972e+00,5.29825805e+00
8.37500000e-02,4.44417444e-01,7.02776615e-01,3.52032804e+00,5.38997582e+00
8.62500000e-02,4.49437622e-01,6.63964838e-01,3.58683621e+00,5.47905245e+00
8.87500000e-02,4.52901809e-01,6.27635356e-01,3.63303955e+00,5.53849179e+00
9.12500000e-02,4.56364402e-01,6.11629195e-01,3.67944453e+00,5.60425159e+00
9.37500000e-02,4.57726404e-01,5.96315923e-01,3.69780174e+00,5.62780736e+00
9.62500000e-02,4.58152879e-01,5.87000767e-01,3.70357289e+00,5.63401442e+00
9.87500000e-02,4.57449305e-01,5.95106809e-01,3.69411747e+00,5.62190249e+00
1.01250000e-01,4.55550395e-01,6.15824464e-01,3.66857873e+00,5.58897437e+00
1.03750000e-01,4.53492562e-01,6.32603793e-01,3.64098229e+00,5.55194141e+00
1.06250000e-01,4.51171522e-01,6.46711701e-01,3.60996216e+00,5.50902060e+00
1.08750000e-01,4.48971272e-01,6.60926390e-01,3.58065790e+00,5.46877895e+00
1.11250000e-01,4.47214856e-01,6.78683682e-01,3.55732361e+00,5.43871479e+00
1.13750000e-01,4.45668969e-01,6.96912666e-01,3.53683601e+00,5.41321664e+00
1.16250000e-01,4.43748389e-01,7.12249316e-01,3.51145466e+00,5.37947522e+00
1.18750000e-01,4.41498221e-01,7.24030962e-01,3.48181742e+00,5.33818629e+00
1.21250000e-01,4.39482346e-01,7.37460827e-01,3.45534725e+00,5.30226764e+00
1.23750000e-01,4.37985595e-01,7.55243968e-01,3.43574713e+00,5.27827508e+00
1.26250000e-01,4.36600563e-01,7.73084020e-01,3.41763987e+00,5.25667259e+00
1.28750000e-01,4.34661976e-01,7.86954976e-01,3.39237230e+00,5.22289671e+00
1.31250000e-01,4.32434152e-01,7.97361066e-01,3.36343548e+00,5.18236847e+00
1.33750000e-01,4.30552802e-01,8.10819038e-01,3.33906648e+00,5.14987794e+00
1.36250000e-01,4.29258546e-01,8.29051666e-01,3.32234040e+00,5.13078186e+00
1.38750000e-01,4.27953035e-01,8.46731893e-01,3.30550592e+00,5.11142249e+00
1.41250000e-01,4.25974628e-01,8.59523805e-01,3.28007649e+00,5.07721976e+00
1.43750000e-01,4.23726770e-01,8.68966756e-01,3.25129734e+00,5.03668090e+00
1.46250000e-01,4.21899279e-01,8.82274078e-01,3.22796061e+00,5.00590362e+00
1.48750000e-01,4.20756754e-01,9.01109552e-01,3.21340185e+00,4.99068870e+00
1.51250000e-01,4.19565723e-01,9.19221066e-01,3.19824215e+00,4.97438304e+00
1.53750000e-01,4.17573057e-01,9.31386720e-01,3.17294938e+00,4.94030451e+00
1.56250000e-01,4.15253768e-01,9.39588102e-01,3.14363370e+00,4.89851316e+00
1.58750000e-01,4.13439879e-01,9.52570962e-01,3.12077035e+00,4.86849739e+00
1.61250000e-01,4.12463529e-01,9.72320872e-01,3.10849143e+00,4.85747715e+00
1.63750000e-01,4.11422215e-01,9.91327844e-01,3.09540969e+00,4.84504105e+00
1.66250000e-01,4.09397865e-01,1.00277834e+00,3.07005019e+00,4.81068301e+00
1.68750000e-01,4.06936124e-01,1.00908811e+00,3.03934792e+00,4.76597708e+00
1.71250000e-01,4.05103518e-01,1.02157387e+00,3.01655854e+00,4.73599726e+00
1.73750000e-01,4.04348434e-01,1.04284938e+00,3.00718955e+00,4.73043030e+00
1.76250000e-01,4.03540147e-01,1.06370311e+00,2.99716431e+00,4.72381733e+00
1.78750000e-01,4.01482385e-01,1.07409694e+00,2.97172370e+00,4.68895463e+00
1.81250000e-01,3.98783298e-01,1.07701847e+00,2.93848878e+00,4.63880088e+00
1.83750000e-01,3.96909023e-01,1.08828864e+00,2.91549672e+00,4.60807043e+00
1.86250000e-01,3.96435701e-01,1.11182967e+00,2.90969661e+00,4.60935671e+00
1.88750000e-01,3.95915922e-01,1.13687674e+00,2.90332854e+00,4.61063351e+00
1.91250000e-01,3.93732669e-01,1.14821207e+00,2.87667201e+00,4.57433906e+00
1.93750000e-01,3.90474122e-01,1.14636558e+00,2.83709539e+00,4.51200189e+00
1.96250000e-01,3.88356363e-01,1.15576060e+00,2.81149547e+00,4.47641218e+00
1.98750000e-01,3.88507087e-01,1.18023658e+00,2.81331473e+00,4.49034820e+00
2.01250000e-01,3.88461955e-01,1.20967691e+00,2.81275692e+00,4.50314616e+00
2.03750000e-01,3.86284852e-01,1.21928019e+00,2.78651759e+00,4.46670147e+00
2.06250000e-01,3.83017504e-01,1.21328358e+00,2.74734149e+00,4.40271800e+00
2.08750000e-01,3.80516575e-01,1.22208605e+00,2.71750504e+00,4.36020343e+00
2.11250000e-01,3.80619487e-01,1.24793043e+00,2.71874107e+00,4.37428285e+00
2.13750000e-01,3.80922801e-01,1.27872177e+00,2.72234477e+00,4.39474202e+00
2.16250000e-01,3.79051617e-01,1.28776480e+00,2.70009234e+00,4.36423390e+00
2.18750000e-01,3.75700197e-01,1.28115603e+00,2.66042937e+00,4.29877432e+00
2.21250000e-01,3.73170370e-01,1.28727406e+00,2.63063883e+00,4.25494651e+00
2.23750000e-01,3.73422983e-01,1.31072746e+00,2.63361698e+00,4.27099951e+00
2.26250000e-01,3.73910566e-01,1.34191205e+00,2.63933596e+00,4.29546161e+00
2.28750000e-01,3.72279871e-01,1.35344329e+00,2.62017557e+00,4.27103961e+00
2.31250000e-01,3.69263626e-01,1.34422464e+00,2.58487722e+00,4.21074056e+00
2.33750000e-01,3.66622887e-01,1.34698581e+00,2.55414096e+00,4.16361481e+00
2.36250000e-01,3.66679000e-01,1.36771806e+00,2.55480564e+00,4.17498140e+00
2.38750000e-01,3.67686843e-01,1.39476678e+00,2.56650800e+00,4.20721380e+00
2.41250000e-01,3.66580271e-01,1.40783277e+00,2.55364963e+00,4.19356271e+00
2.43750000e-01,3.64025541e-01,1.39985027e+00,2.52406124e+00,4.14257129e+00
2.46250000e-01,3.61728513e-01,1.39748184e+00,2.49756994e+00,4.09938744e+00
2.48750000e-01,3.61675318e-01,1.41036934e+00,2.49696622e+00,4.10497380e+00
2.51250000e-01,3.62809773e-01,1.43289177e+00,2.51003047e+00,4.13731414e+00
2.53750000e-01,3.62404803e-01,1.44263511e+00,2.50536265e+00,4.13497380e+00
2.56250000e-01,3.60874604e-01,1.43565362e+00,2.48776752e+00,4.10336427e+00
2.58750000e-01,3.59217859e-01,1.43045329e+00,2.46875733e+00,4.07046602e+00
2.61250000e-01,3.59095973e-01,1.43544705e+00,2.46736774e+00,4.07082668e+00
2.63750000e-01,3.60158759e-01,1.44920988e+00,2.47955150e+00,4.09734568e+00
2.66250000e-01,3.60308008e-01,1.45380710e+00,2.48126309e+00,4.10247396e+00
2.68750000e-01,3.59768568e-01,1.44923044e+00,2.47507871e+00,4.09023780e+00
2.71250000e-01,3.58971103e-01,1.44225775e+00,2.46593382e+00,4.07206502e+00
2.73750000e-01,3.59017589e-01,1.44189073e+00,2.46646321e+00,4.07271740e+00
2.76250000e-01,3.59642410e-01,1.44705313e+00,2.47361552e+00,4.08677667e+00
2.78750000e-01,3.60037383e-01,1.44914089e+00,2.47813810e+00,4.09506223e+00
2.81250000e-01,3.59926255e-01,1.44750719e+00,2.47685904e+00,4.09217541e+00
2.83750000e-01,3.59511233e-01,1.44302152e+00,2.47209404e+00,4.08226278e+00
2.86250000e-01,3.59522791e-01,1.44200692e+00,2.47222203e+00,4.08194060e+00
2.88750000e-01,3.59810873e-01,1.44351093e+00,2.47551856e+00,4.08796543e+00
2.91250000e-01,3.60135206e-01,1.44462971e+00,2.47923327e+00,4.09445696e+00
2.93750000e-01,3.60117073e-01,1.44376961e+00,2.47902203e+00,4.09367386e+00
2.96250000e-01,3.59886899e-01,1.44112261e+00,2.47637818e+00,4.08809430e+00
2.98750000e-01,3.59833873e-01,1.44092786e+00,2.47576865e+00,4.08702400e+00
3.01250000e-01,3.59941824e-01,1.44226901e+00,2.47700569e+00,4.08968745e+00
3.03750000e-01,3.60053157e-01,1.44364382e+00,2.47828131e+00,4.09243085e+00
3.06250000e-01,3.60047531e-01,1.44334890e+00,2.47821456e+00,4.09217158e+00
3.08750000e-01,3.59928584e-01,1.44196800e+00,2.47684637e+00,4.08927846e+00
3.11250000e-01,3.59895319e-01,1.44162579e+00,2.47645984e+00,4.08848654e+00
3.13750000e-01,3.59955981e-01,1.44212584e+00,2.47714879e+00,4.08984249e+00
3.16250000e-01,3.60055082e-01,1.44284141e+00,2.47827849e+00,4.09201165e+00
3.18750000e-01,3.60053331e-01,1.44280259e+00,2.47825246e+00,4.09195062e+00
3.21250000e-01,3.59975020e-01,1.44207760e+00,2.47734649e+00,4.09013378e+00
3.23750000e-01,3.59935068e-01,1.44175233e+00,2.47688236e+00,4.08922726e+00
3.26250000e-01,3.59951187e-01,1.44196360e+00,2.47706101e+00,4.08962162e+00
3.28750000e-01,3.60013423e-01,1.44259552e+00,2.47776840e+00,4.09107548e+00
3.31250000e-01,3.60019368e-01,1.44270960e+00,2.47783118e+00,4.09123507e+00
3.33750000e-01,3.59990756e-01,1.44254298e+00,2.47749569e+00,4.09061556e+00
3.36250000e-01,3.59955951e-01,1.44235188e+00,2.47708997e+00,4.08987158e+00
3.38750000e-01,3.59958836e-01,1.44238451e+00,2.47711846e+00,4.08993424e+00
3.41250000e-01,3.59984475e-01,1.44258813e+00,2.47740595e+00,4.09049787e+00
3.43750000e-01,3.59994501e-01,1.44259044e+00,2.47751631e+00,4.09067503e+00
3.46250000e-01,3.59985888e-01,1.44244885e+00,2.47741313e+00,4.09043778e+00
3.48750000e-01,3.59975596e-01,1.44226522e+00,2.47729014e+00,4.09014725e+00
3.51250000e-01,3.59980071e-01,1.44226194e+00,2.47733673e+00,4.09022009e+00
3.53750000e-01,3.59996819e-01,1.44238844e+00,2.47752384e+00,4.09058385e+00
3.56250000e-01,3.59998542e-01,1.44245314e+00,2.47754006e+00,4.09064356e+00
3.58750000e-01,3.59989901e-01,1.44240568e+00,2.47743555e+00,4.09045316e+00
3.61250000e-01,3.59974332e-01,1.44231909e+00,2.47725267e+00,4.09011770e+00
3.63750000e-01,3.59971343e-01,1.44234685e+00,2.47721544e+00,4.09007316e+00
3.66250000e-01,3.59979977e-01,1.44247423e+00,2.47731023e+00,4.09029047e+00
3.68750000e-01,3.59986574e-01,1.44258015e+00,2.47738235e+00,4.09046051e+00
3.71250000e-01,3.59985187e-01,1.44257292e+00,2.47736327e+00,4.09042669e+00
3.73750000e-01,3.59977062e-01,1.44248891e+00,2.47726713e+00,4.09023042e+00
3.76250000e-01,3.59975838e-01,1.44243656e+00,2.47725110e+00,4.09017791e+00
3.78750000e-01,3.59980131e-01,1.44243174e+00,2.47729673e+00,4.09024831e+00
3.81250000e-01,3.59987186e-01,1.44245075e+00,2.47737369e+00,4.09038096e+00
3.83750000e-01,3.59990896e-01,1.44243166e+00,2.47741207e+00,4.09043247e+00
3.86250000e-01,3.59990282e-01,1.44238622e+00,2.47739978e+00,4.09038981e+00
3.88750000e-01,3.59990550e-01,1.44238294e+00,2.47739532e+00,4.09038170e+00
3.91250000e-01,3.59992102e-01,1.44241002e+00,2.47740742e+00,4.09041552e+00
3.93750000e-01,3.59992127e-01,1.44244325e+00,2.47740235e+00,4.09042519e+00
3.96250000e-01,3.59989035e-01,1.44245166e+00,2.47735979e+00,4.09036251e+00
3.98750000e-01,3.59983893e-01,1.44243791e+00,2.47729593e+00,4.09025423e+00
4.01250000e-01,3.59981710e-01,1.44245322e+00,2.47726771e+00,4.09021759e+00
4.03750000e-01,3.59984926e-01,1.44249222e+00,2.47730059e+00,4.09029050e+00
4.06250000e-01,3.59988104e-01,1.44251422e+00,2.47733078e+00,4.09035052e+00
4.08750000e-01,3.59989682e-01,1.44249701e+00,2.47734359e+00,4.09036243e+00
4.11250000e-01,3.59988856e-01,1.44245135e+00,2.47732695e+00,4.09031290e+00
4.13750000e-01,3.59989036e-01,1.44240212e+00,2.47731986e+00,4.09027689e+00
4.16250000e-01,3.59992965e-01,1.44239017e+00,2.47735169e+00,4.09032251e+00
4.18750000e-01,3.59998611e-01,1.44240852e+00,2.47740446e+00,4.09041708e+00
4.21250000e-01,3.60001382e-01,1.44240879e+00,2.47742933e+00,4.09045740e+00
4.23750000e-01,3.60000200e-01,1.44239762e+00,2.47740809e+00,4.09041850e+00
4.26250000e-01,3.59997798e-01,1.44238625e+00,2.47737175e+00,4.09035560e+00
4.28750000e-01,3.59995940e-01,1.44240001e+00,2.47734763e+00,4.09032463e+00
4.31250000e-01,3.59996184e-01,1.44243319e+00,2.47734951e+00,4.09034494e+00
4.33750000e-01,3.59996604e-01,1.44247180e+00,2.47735459e+00,4.09037305e+00
4.36250000e-01,3.59995063e-01,1.44247733e+00,2.47733794e+00,4.09034934e+00
4.38750000e-01,3.59992041e-01,1.44245567e+00,2.47730365e+00,4.09028352e+00
4.41250000e-01,3.59991366e-01,1.44243382e+00,2.47729545e+00,4.09025916e+00
4.43750000e-01,3.59992834e-01,1.44242177e+00,2.47731033e+00,4.09027676e+00
4.46250000e-01,3.59996189e-01,1.44242337e+00,2.47734403e+00,4.09033162e+00
4.48750000e-01,3.60000382e-01,1.44242771e+00,2.47738570e+00,4.09040074e+00
4.51250000e-01,3.60003095e-01,1.44241896e+00,2.47741052e+00,4.09043624e+00
4.53750000e-01,3.60002846e-01,1.44239991e+00,2.47740238e+00,4.09041388e+00
4.56250000e-01,3.60000696e-01,1.44236993e+00,2.47736984e+00,4.09034728e+00
4.58750000e-01,3.59999252e-01,1.44236052e+00,2.47734753e+00,4.09030743e+00
4.61250000e-01,3.59998234e-01,1.44237229e+00,2.47733336e+00,4.09029122e+00
4.63750000e-01,3.59998764e-01,1.44240140e+00,2.47733902e+00,4.09031538e+00
4.66250000e-01,3.60001632e-01,1.44245201e+00,2.47737224e+00,4.09039446e+00
4.68750000e-01,3.60002082e-01,1.44248238e+00,2.47737794e+00,4.09041926e+00
4.71250000e-01,3.60000927e-01,1.44248319e+00,2.47736545e+00,4.09039974e+00
4.73750000e-01,3.59998503e-01,1.44245887e+00,2.47733727e+00,4.09034233e+00
4.76250000e-01,3.59997325e-01,1.44243077e+00,2.47732268e+00,4.09030462e+00
4.78750000e-01,3.59997953e-01,1.44241074e+00,2.47732854e+00,4.09030366e+00
4.81250000e-01,3.59999800e-01,1.44239918e+00,2.47734762e+00,4.09032820e+00
4.83750000e-01,3.60002106e-01,1.44239030e+00,2.47737083e+00,4.09036080e+00
4.86250000e-01,3.60002830e-01,1.44237442e+00,2.47737560e+00,4.09036046e+00
4.88750000e-01,3.60003703e-01,1.44236910e+00,2.47738131e+00,4.09036717e+00
4.91250000e-01,3.60004802e-01,1.44238141e+00,2.47738786e+00,4.09038453e+00
4.93750000e-01,3.60005467e-01,1.44240103e+00,2.47739166e+00,4.09040111e+00
4.96250000e-01,3.60005201e-01,1.44241915e+00,2.47738387e+00,4.09039856e+00
4.98750000e-01,3.60003665e-01,1.44242610e+00,2.47736079e+00,4.09036595e+00
5.01250000e-01,3.60001721e-01,1.44243213e+00,2.47733425e+00,4.09032725e+00
5.03750000e-01,3.60002160e-01,1.44245049e+00,2.47733490e+00,4.09033823e+00
5.06250000e-01,3.60003890e-01,1.44247425e+00,2.47734817e+00,4.09037226e+00
5.08750000e-01,3.60005023e-01,1.44247220e+00,2.47735465e+00,4.09038210e+00
5.11250000e-01,3.60005427e-01,1.44245146e+00,2.47735369e+00,4.09037031e+00
5.13750000e-01,3.60002789e-01,1.44239713e+00,2.47731864e+00,4.09028678e+00
5.16250000e-01,3.59999637e-01,1.44233724e+00,2.47727714e+00,4.09019015e+00
5.18750000e-01,3.60000187e-01,1.44230400e+00,2.47727784e+00,4.09017451e+00
5.21250000e-01,3.60002697e-01,1.44230245e+00,2.47729931e+00,4.09020853e+00
5.23750000e-01,3.60007000e-01,1.44232840e+00,2.47734283e+00,4.09029176e+00
5.26250000e-01,3.60015718e-01,1.44240906e+00,2.47743610e+00,4.09048260e+00
5.28750000e-01,3.60020055e-01,1.44246317e+00,2.47748019e+00,4.09058135e+00
5.31250000e-01,3.60020053e-01,1.44249117e+00,2.47747363e+00,4.09058605e+00
5.33750000e-01,3.60018195e-01,1.44249479e+00,2.47744252e+00,4.09053933e+00
5.36250000e-01,3.60013596e-01,1.44247254e+00,2.47738161e+00,4.09043164e+00
5.38750000e-01,3.60007496e-01,1.44243027e+00,2.47730456e+00,4.09028777e+00
5.41250000e-01,3.60005705e-01,1.44242364e+00,2.47727687e+00,4.09024093e+00
5.43750000e-01,3.60007286e-01,1.44242412e+00,2.47728812e+00,4.09025969e+00
5.46250000e-01,3.60011586e-01,1.44243565e+00,2.47732368e+00,4.09032349e+00
5.48750000e-01,3.60016000e-01,1.44243805e+00,2.47736289e+00,4.09038814e+00
5.51250000e-01,3.60018660e-01,1.44242330e+00,2.47738600e+00,4.09041791e+00
5.53750000e-01,3.60019094e-01,1.44239339e+00,2.47738442e+00,4.09040047e+00
5.56250000e-01,3.60018887e-01,1.44236177e+00,2.47737359e+00,4.09036759e+00
5.58750000e-01,3.60019726e-01,1.44234771e+00,2.47737307e+00,4.09036038e+00
5.61250000e-01,3.60021048e-01,1.44234808e+00,2.47737663e+00,4.09036728e+00
5.63750000e-01,3.60020767e-01,1.44235907e+00,2.47736459e+00,4.09035464e+00
5.66250000e-01,3.60020508e-01,1.44237283e+00,2.47734982e+00,4.09033935e+00
5.68750000e-01,3.60020194e-01,1.44239549e+00,2.47733798e+00,4.09033304e+00
5.71250000e-01,3.60021344e-01,1.44242600e+00,2.47734280e+00,4.09035731e+00
5.73750000e-01,3.60022156e-01,1.44245548e+00,2.47734420e+00,4.09037556e+00
5.76250000e-01,3.60021712e-01,1.44245565e+00,2.47733053e+00,4.09035469e+00
5.78750000e-01,3.60019886e-01,1.44243674e+00,2.47730436e+00,4.09030371e+00
5.81250000e-01,3.60020040e-01,1.44241840e+00,2.47730342e+00,4.09029294e+00
5.83750000e-01,3.60022073e-01,1.44241179e+00,2.47732357e+00,4.09032185e+00
5.86250000e-01,3.60025791e-01,1.44241954e+00,2.47736804e+00,4.09039644e+00
5.88750000e-01,3.60029740e-01,1.44243563e+00,2.47741909e+00,4.09048547e+00
