x,rho,vx,P,E
5.00000000e-03,9.99999929e-01,9.10985389e-08,9.99999882e-01,1.49992483e+00
1.50000000e-02,9.99999811e-01,2.44162766e-07,9.99999685e-01,1.49992453e+00
2.50000000e-02,9.99999511e-01,6.31447588e-07,9.99999185e-01,1.49992378e+00
3.50000000e-02,9.99998780e-01,1.57552475e-06,9.99997966e-01,1.49992195e+00
4.50000000e-02,9.99997063e-01,3.79205480e-06,9.99995104e-01,1.49991766e+00
5.50000000e-02,9.99993182e-01,8.80254826e-06,9.99988636e-01,1.49990796e+00
6.50000000e-02,9.99984738e-01,1.97034407e-05,9.99974563e-01,1.49988685e+00
7.50000000e-02,9.99967065e-01,4.25191985e-05,9.99945109e-01,1.49984267e+00
8.50000000e-02,9.99931497e-01,8.84390322e-05,9.99885831e-01,1.49975376e+00
9.50000000e-02,9.99862696e-01,1.77266844e-04,9.99771173e-01,1.49958180e+00
1.05000000e-01,9.99734847e-01,3.42337496e-04,9.99558135e-01,1.49926230e+00
1.15000000e-01,9.99506732e-01,6.36891526e-04,9.99178091e-01,1.49869240e+00
1.25000000e-01,9.99116078e-01,1.14140276e-03,9.98527457e-01,1.49771695e+00
1.35000000e-01,9.98474134e-01,1.97065693e-03,9.97458840e-01,1.49611539e+00
1.45000000e-01,9.97461990e-01,3.27867658e-03,9.95775285e-01,1.49359361e+00
1.55000000e-01,9.95930437e-01,5.25922601e-03,9.93230739e-01,1.48978539e+00
1.65000000e-01,9.93704911e-01,8.13999021e-03,9.89539399e-01,1.48426781e+00
1.75000000e-01,9.90596074e-01,1.21697755e-02,9.84394861e-01,1.47659182e+00
1.85000000e-01,9.86415053e-01,1.75999656e-02,9.77497305e-01,1.46632542e+00
1.95000000e-01,9.80990899e-01,2.46632968e-02,9.68584245e-01,1.45310208e+00
2.05000000e-01,9.74186920e-01,3.35539868e-02,9.57458858e-01,1.43666488e+00
2.15000000e-01,9.65912833e-01,4.44129210e-02,9.44010297e-01,1.41689728e+00
2.25000000e-01,9.56130756e-01,5.73201388e-02,9.28222566e-01,1.39383497e+00
2.35000000e-01,9.44854743e-01,7.22949269e-02,9.10171512e-01,1.36765818e+00
2.45000000e-01,9.32144920e-01,8.93021793e-02,8.90012135e-01,1.33866833e+00
2.55000000e-01,9.18098139e-01,1.08262761e-01,8.67959913e-01,1.30725521e+00
2.65000000e-01,9.02837229e-01,1.29065500e-01,8.44270050e-01,1.27386145e+00
2.75000000e-01,8.86500536e-01,1.51578867e-01,8.19217827e-01,1.23894949e+00
2.85000000e-01,8.69232885e-01,1.75661091e-01,7.93082061e-01,1.20297449e+00
2.95000000e-01,8.51178511e-01,2.01168120e-01,7.66132560e-01,1.16636439e+00
3.05000000e-01,8.32476031e-01,2.27959328e-01,7.38621571e-01,1.12950696e+00
3.15000000e-01,8.13255252e-01,2.55901194e-01,7.10778741e-01,1.09274299e+00
3.25000000e-01,7.93635496e-01,2.84869296e-01,6.82808851e-01,1.05636403e+00
3.35000000e-01,7.73725052e-01,3.14749011e-01,6.54891576e-01,1.02061354e+00
3.45000000e-01,7.53621456e-01,3.45435234e-01,6.27182638e-01,9.85690050e-01
3.55000000e-01,7.33412334e-01,3.76831376e-01,5.99815814e-01,9.51751704e-01
3.65000000e-01,7.13176620e-01,4.08847798e-01,5.72905463e-01,9.18921290e-01
3.75000000e-01,6.92986063e-01,4.41399723e-01,5.46549335e-01,8.87291537e-01
3.85000000e-01,6.72906987e-01,4.74404571e-01,5.20831554e-01,8.56930392e-01
3.95000000e-01,6.53002359e-01,5.07778522e-01,4.95825798e-01,8.27886258e-01
4.05000000e-01,6.33334317e-01,5.41431905e-01,4.71598779e-01,8.00193306e-01
4.15000000e-01,6.13967464e-01,5.75262695e-01,4.48214328e-01,7.73877135e-01
4.25000000e-01,5.94973434e-01,6.09146894e-01,4.25738568e-01,7.48961325e-01
4.35000000e-01,5.76437679e-01,6.42923626e-01,4.04247079e-01,7.25475786e-01
4.45000000e-01,5.58470047e-01,6.76371176e-01,3.83835585e-01,7.03468461e-01
4.55000000e-01,5.41221905e-01,7.09167448e-01,3.64636784e-01,6.83023076e-01
4.65000000e-01,5.24914171e-01,7.40824243e-01,3.46847532e-01,6.64287130e-01
4.75000000e-01,5.09881700e-01,7.70581539e-01,3.30771635e-01,6.47515480e-01
4.85000000e-01,4.96633919e-01,7.97259467e-01,3.16878252e-01,6.33129499e-01
4.95000000e-01,4.85895917e-01,8.19146200e-01,3.05841174e-01,6.21757024e-01
5.05000000e-01,4.78475870e-01,8.34273313e-01,2.98407163e-01,6.14100829e-01
5.15000000e-01,4.74658247e-01,8.41772916e-01,2.94793235e-01,6.10334805e-01
5.25000000e-01,4.73371562e-01,8.43769289e-01,2.93860281e-01,6.09276023e-01
5.35000000e-01,4.72844827e-01,8.43979088e-01,2.93791077e-01,6.09068434e-01
5.45000000e-01,4.72306691e-01,8.43972847e-01,2.93827864e-01,6.08929466e-01
5.55000000e-01,4.71600322e-01,8.43928721e-01,2.93885042e-01,6.08746096e-01
5.65000000e-01,4.70571238e-01,8.43877288e-01,2.93948099e-01,6.08453787e-01
5.75000000e-01,4.68964162e-01,8.43827836e-01,2.94012781e-01,6.07959012e-01
5.85000000e-01,4.66368231e-01,8.43784609e-01,2.94077253e-01,6.07114494e-01
5.95000000e-01,4.62190456e-01,8.43749980e-01,2.94140553e-01,6.05708704e-01
6.05000000e-01,4.55687190e-01,8.43725311e-01,2.94202152e-01,6.03476731e-01
6.15000000e-01,4.46079796e-01,8.43711319e-01,2.94261765e-01,6.00141260e-01
6.25000000e-01,4.32750269e-01,8.43708310e-01,2.94319234e-01,5.95482058e-01
6.35000000e-01,4.15468017e-01,8.43716342e-01,2.94374485e-01,5.89416613e-01
6.45000000e-01,3.94565365e-01,8.43735353e-01,2.94427511e-01,5.82062626e-01
6.55000000e-01,3.70981049e-01,8.43765259e-01,2.94478408e-01,5.73753616e-01
6.65000000e-01,3.46134642e-01,8.43806041e-01,2.94527402e-01,5.64994442e-01
6.75000000e-01,3.21661228e-01,8.43857824e-01,2.94574890e-01,5.56367085e-01
6.85000000e-01,2.99091193e-01,8.43920944e-01,2.94621453e-01,5.48416841e-01
6.95000000e-01,2.79577008e-01,8.43996001e-01,2.94667854e-01,5.41555122e-01
7.05000000e-01,2.63742273e-01,8.44083894e-01,2.94715013e-01,5.36005651e-01
7.15000000e-01,2.51675655e-01,8.44185804e-01,2.94763957e-01,5.31802115e-01
