x,rho,vx,P,E
2.50000000e-03,1.00000001e+00,-1.27586802e-08,1.00000002e+00,1.49992503e+00
7.50000000e-03,1.00000014e+00,-1.80241730e-07,1.00000023e+00,1.49992535e+00
1.25000000e-02,9.99999987e-01,1.74141409e-08,9.99999978e-01,1.49992497e+00
1.75000000e-02,9.99999493e-01,6.54887257e-07,9.99999155e-01,1.49992374e+00
2.25000000e-02,9.99999943e-01,7.31224636e-08,9.99999906e-01,1.49992486e+00
2.75000000e-02,1.00000162e+00,-2.09335158e-06,1.00000270e+00,1.49992906e+00
3.25000000e-02,1.00000032e+00,-4.16273998e-07,1.00000054e+00,1.49992581e+00
3.75000000e-02,9.99996476e-01,4.54999760e-06,9.99994126e-01,1.49991619e+00
4.25000000e-02,9.99996569e-01,4.42964963e-06,9.99994281e-01,1.49991643e+00
4.75000000e-02,1.00000897e+00,-1.15783614e-05,1.00001495e+00,1.49994742e+00
5.25000000e-02,1.00001328e+00,-1.71461762e-05,1.00002214e+00,1.49995821e+00
5.75000000e-02,9.99984540e-01,1.99599071e-05,9.99974232e-01,1.49988635e+00
6.25000000e-02,9.99958058e-01,5.41478171e-05,9.99930098e-01,1.49982016e+00
6.75000000e-02,1.00000890e+00,-1.14852591e-05,1.00001483e+00,1.49994724e+00
7.25000000e-02,1.00007897e+00,-1.01950432e-04,1.00013163e+00,1.50012244e+00
7.75000000e-02,1.00009741e+00,-1.25763236e-04,1.00016237e+00,1.50016855e+00
8.25000000e-02,9.99886909e-01,1.46018794e-04,9.99811516e-01,1.49964230e+00
8.75000000e-02,9.99734716e-01,3.42501736e-04,9.99557916e-01,1.49926197e+00
9.25000000e-02,9.99891875e-01,1.39511814e-04,9.99819868e-01,1.49965483e+00
9.75000000e-02,1.00033886e+00,-4.37375445e-04,1.00056482e+00,1.50077229e+00
1.02500000e-01,1.00061040e+00,-7.88026595e-04,1.00101768e+00,1.50145177e+00
1.07500000e-01,1.00023324e+00,-3.01175529e-04,1.00038908e+00,1.50050864e+00
1.12500000e-01,9.99117066e-01,1.14012417e-03,9.98529059e-01,1.49771935e+00
1.17500000e-01,9.98238128e-01,2.27585207e-03,9.97066720e-01,1.49552789e+00
1.22500000e-01,9.99977055e-01,2.84413912e-05,9.99961409e-01,1.49986712e+00
1.27500000e-01,1.00192128e+00,-2.47922626e-03,1.00320516e+00,1.50473559e+00
1.32500000e-01,1.00331140e+00,-4.26936265e-03,1.00552234e+00,1.50821725e+00
1.37500000e-01,1.00109353e+00,-1.41792214e-03,1.00183867e+00,1.50268388e+00
1.42500000e-01,9.95616472e-01,5.66463113e-03,9.92709822e-01,1.48900626e+00
1.47500000e-01,9.92296365e-01,9.96617932e-03,9.87209424e-01,1.48078938e+00
1.52500000e-01,9.96550669e-01,4.40715456e-03,9.94297433e-01,1.49138126e+00
1.57500000e-01,1.00875468e+00,-1.12640810e-02,1.01464988e+00,1.52196273e+00
1.62500000e-01,1.01595044e+00,-2.05044670e-02,1.02675799e+00,1.54027355e+00
1.67500000e-01,1.01497859e+00,-1.93450870e-02,1.02523336e+00,1.53796307e+00
1.72500000e-01,9.92517741e-01,9.70425349e-03,9.87583657e-01,1.48134815e+00
1.77500000e-01,9.75043531e-01,3.24731859e-02,9.58831231e-01,1.43868903e+00
1.82500000e-01,9.67083039e-01,4.28513089e-02,9.46027975e-01,1.41985891e+00
1.87500000e-01,9.95974139e-01,5.08872403e-03,9.93330813e-01,1.48993462e+00
1.92500000e-01,1.02397303e+00,-3.06615686e-02,1.04030546e+00,1.56086151e+00
1.97500000e-01,1.04561489e+00,-5.80368651e-02,1.07727234e+00,1.61758867e+00
2.02500000e-01,1.05933144e+00,-7.52423304e-02,1.10098823e+00,1.65439844e+00
2.07500000e-01,1.06398197e+00,-8.10656959e-02,1.10909472e+00,1.66705496e+00
2.12500000e-01,1.05125971e+00,-6.51267242e-02,1.08699283e+00,1.63263718e+00
2.17500000e-01,1.03833096e+00,-4.89196293e-02,1.06479313e+00,1.59835227e+00
2.22500000e-01,1.02490979e+00,-3.19093683e-02,1.04189937e+00,1.56329270e+00
2.27500000e-01,1.01151049e+00,-1.47062048e-02,1.01916314e+00,1.52877765e+00
2.32500000e-01,9.98116221e-01,2.57917534e-03,9.96699004e-01,1.49497708e+00
2.37500000e-01,9.84530731e-01,1.99283302e-02,9.74559212e-01,1.46196123e+00
2.42500000e-01,9.71449257e-01,3.73227481e-02,9.52757570e-01,1.42974151e+00
2.47500000e-01,9.58303780e-01,5.47577270e-02,9.31303027e-01,1.39832139e+00
2.52500000e-01,9.45230243e-01,7.22258938e-02,9.10200336e-01,1.36769768e+00
2.57500000e-01,9.32251108e-01,8.97173807e-02,8.89446872e-01,1.33785554e+00
2.62500000e-01,9.19380719e-01,1.07226807e-01,8.69042382e-01,1.30878373e+00
2.67500000e-01,9.06644670e-01,1.24755515e-01,8.48991973e-01,1.28047977e+00
2.72500000e-01,8.93956397e-01,1.42306579e-01,8.29300581e-01,1.25294050e+00
2.77500000e-01,8.81403647e-01,1.59876284e-01,8.09964534e-01,1.22615058e+00
2.82500000e-01,8.69006052e-01,1.77457412e-01,7.90974620e-01,1.20008560e+00
2.87500000e-01,8.56753101e-01,1.95045856e-01,7.72324526e-01,1.17472555e+00
2.92500000e-01,8.44425537e-01,2.12644508e-01,7.54015678e-01,1.15005845e+00
2.97500000e-01,8.32200866e-01,2.30255644e-01,7.36049861e-01,1.12608026e+00
3.02500000e-01,8.20218526e-01,2.47877469e-01,7.18421932e-01,1.10277746e+00
3.07500000e-01,8.08395495e-01,2.65506041e-01,7.01122987e-01,1.08012520e+00
3.12500000e-01,7.96656304e-01,2.83138828e-01,6.84146677e-01,1.05810172e+00
3.17500000e-01,7.85043548e-01,3.00776751e-01,6.67490881e-01,1.03669639e+00
3.22500000e-01,7.73533691e-01,3.18423488e-01,6.51155668e-01,1.01590032e+00
3.27500000e-01,7.62044116e-01,3.36081696e-01,6.35140398e-01,9.95699751e-01
3.32500000e-01,7.50595406e-01,3.53749547e-01,6.19441044e-01,9.76079392e-01
3.37500000e-01,7.39294137e-01,3.71421479e-01,6.04049793e-01,9.57023649e-01
3.42500000e-01,7.28191537e-01,3.89092428e-01,5.88958165e-01,9.38514599e-01
3.47500000e-01,7.17243902e-01,4.06761650e-01,5.74161202e-01,9.20534552e-01
3.52500000e-01,7.06382692e-01,4.24433226e-01,5.59658850e-01,9.03071451e-01
3.57500000e-01,6.95580236e-01,4.42112611e-01,5.45453008e-01,8.86118899e-01
3.62500000e-01,6.84861730e-01,4.59801182e-01,5.31542434e-01,8.69669538e-01
3.67500000e-01,6.74272307e-01,4.77493192e-01,5.17920028e-01,8.53708159e-01
3.72500000e-01,6.63829004e-01,4.95178659e-01,5.04575479e-01,8.38211445e-01
3.77500000e-01,6.53502174e-01,5.12850476e-01,4.91501416e-01,8.23155899e-01
3.82500000e-01,6.43247229e-01,5.30509255e-01,4.78697355e-01,8.08527905e-01
3.87500000e-01,6.33053106e-01,5.48161131e-01,4.66167657e-01,7.94326622e-01
3.92500000e-01,6.22956063e-01,5.65810641e-01,4.53915644e-01,7.80556525e-01
3.97500000e-01,6.13007309e-01,5.83455287e-01,4.41939493e-01,7.67216092e-01
4.02500000e-01,6.03231219e-01,6.01085779e-01,4.30232978e-01,7.54292161e-01
4.07500000e-01,5.93613438e-01,6.18690153e-01,4.18789337e-01,7.41763533e-01
4.12500000e-01,5.84121398e-01,6.36257581e-01,4.07604818e-01,7.29609753e-01
4.17500000e-01,5.74732156e-01,6.53779650e-01,3.96680296e-01,7.17818954e-01
4.22500000e-01,5.65446093e-01,6.71248728e-01,3.86021219e-01,7.06390774e-01
4.27500000e-01,5.56283081e-01,6.88652817e-01,3.75636373e-01,6.95332984e-01
4.32500000e-01,5.47270533e-01,7.05966755e-01,3.65536489e-01,6.84654142e-01
4.37500000e-01,5.38435097e-01,7.23142533e-01,3.55735377e-01,6.74359699e-01
4.42500000e-01,5.29805078e-01,7.40102277e-01,3.46256655e-01,6.64459745e-01
4.47500000e-01,5.21423394e-01,7.56731934e-01,3.37145797e-01,6.54988197e-01
4.52500000e-01,5.13365112e-01,7.72866464e-01,3.28482970e-01,6.46022105e-01
4.57500000e-01,5.05751404e-01,7.88258822e-01,3.20390892e-01,6.37687126e-01
4.62500000e-01,4.98756547e-01,8.02545828e-01,3.13037195e-01,6.30151826e-01
4.67500000e-01,4.92601427e-01,8.15233940e-01,3.06624963e-01,6.23607474e-01
4.72500000e-01,4.87514824e-01,8.25759624e-01,3.01370810e-01,6.18246662e-01
4.77500000e-01,4.83761928e-01,8.33697552e-01,2.97477007e-01,6.14312954e-01
