x,rho,vx,P,E
2.50000000e-03,1.00000000e+00,2.46845478e-13,1.00000000e+00,1.49992500e+00
7.50000000e-03,1.00000000e+00,6.58489188e-13,1.00000000e+00,1.49992500e+00
1.25000000e-02,1.00000000e+00,1.72569314e-12,1.00000000e+00,1.49992500e+00
1.75000000e-02,1.00000000e+00,4.44239495e-12,1.00000000e+00,1.49992500e+00
2.25000000e-02,1.00000000e+00,1.12335707e-11,1.00000000e+00,1.49992500e+00
2.75000000e-02,1.00000000e+00,2.79032484e-11,1.00000000e+00,1.49992500e+00
3.25000000e-02,1.00000000e+00,6.80781362e-11,1.00000000e+00,1.49992500e+00
3.75000000e-02,1.00000000e+00,1.63137554e-10,1.00000000e+00,1.49992500e+00
4.25000000e-02,1.00000000e+00,3.83947078e-10,1.00000000e+00,1.49992500e+00
4.75000000e-02,9.99999999e-01,8.87434249e-10,9.99999999e-01,1.49992500e+00
5.25000000e-02,9.99999998e-01,2.01429684e-09,9.99999997e-01,1.49992500e+00
5.75000000e-02,9.99999997e-01,4.48959076e-09,9.99999994e-01,1.49992500e+00
6.25000000e-02,9.99999992e-01,9.82558207e-09,9.99999987e-01,1.49992498e+00
6.75000000e-02,9.99999984e-01,2.11129524e-08,9.99999973e-01,1.49992496e+00
7.25000000e-02,9.99999965e-01,4.45398076e-08,9.99999942e-01,1.49992492e+00
7.75000000e-02,9.99999929e-01,9.22411191e-08,9.99999881e-01,1.49992483e+00
8.25000000e-02,9.99999855e-01,1.87518634e-07,9.99999758e-01,1.49992464e+00
8.75000000e-02,9.99999710e-01,3.74173765e-07,9.99999517e-01,1.49992428e+00
9.25000000e-02,9.99999432e-01,7.32782828e-07,9.99999054e-01,1.49992358e+00
9.75000000e-02,9.99998909e-01,1.40835754e-06,9.99998182e-01,1.49992228e+00
1.02500000e-01,9.99997943e-01,2.65611929e-06,9.99996571e-01,1.49991986e+00
1.07500000e-01,9.99996193e-01,4.91517909e-06,9.99993654e-01,1.49991549e+00
1.12500000e-01,9.99993088e-01,8.92374750e-06,9.99988479e-01,1.49990772e+00
