x,rho,vx,P,E
5.00000000e-03,9.99827179e-01,2.23095630e-04,9.99712073e-01,1.49949316e+00
1.50000000e-02,1.00001697e+00,-2.22494305e-05,1.00002854e+00,1.49996782e+00
2.50000000e-02,1.00060530e+00,-7.81357090e-04,1.00100919e+00,1.50143901e+00
3.50000000e-02,1.00012775e+00,-1.65399029e-04,1.00021419e+00,1.50024628e+00
4.50000000e-02,9.98592881e-01,1.81680981e-03,9.97656099e-01,1.49641098e+00
5.50000000e-02,9.98714085e-01,1.65635267e-03,9.97863409e-01,1.49672165e+00
6.50000000e-02,1.00333439e+00,-4.30228179e-03,1.00556723e+00,1.50828471e+00
7.50000000e-02,1.00477349e+00,-6.17731181e-03,1.00799046e+00,1.51192927e+00
8.50000000e-02,9.95399803e-01,5.96029139e-03,9.92356601e-01,1.48847816e+00
9.50000000e-02,9.89688163e-01,1.33500634e-02,9.82891057e-01,1.47435107e+00
1.05000000e-01,9.95565657e-01,5.53986277e-03,9.92786953e-01,1.48912125e+00
1.15000000e-01,1.01753521e+00,-2.24727556e-02,1.02944983e+00,1.54435448e+00
1.25000000e-01,1.03124799e+00,-4.02644276e-02,1.05291254e+00,1.58012579e+00
1.35000000e-01,9.99244590e-01,1.33430763e-03,9.98762062e-01,1.49806908e+00
1.45000000e-01,9.65517588e-01,4.53431611e-02,9.43296756e-01,1.41586694e+00
1.55000000e-01,9.48977522e-01,6.67359433e-02,9.17279966e-01,1.37796438e+00
1.65000000e-01,1.01076086e+00,-1.46630065e-02,1.01802782e+00,1.52707403e+00
1.75000000e-01,1.06155182e+00,-7.66237379e-02,1.10481384e+00,1.66025419e+00
1.85000000e-01,1.08277975e+00,-1.04306441e-01,1.14206274e+00,1.71889869e+00
1.95000000e-01,1.07898073e+00,-9.96189866e-02,1.13536979e+00,1.70832340e+00
2.05000000e-01,1.04889790e+00,-6.19218926e-02,1.08266810e+00,1.62593186e+00
2.15000000e-01,1.02282277e+00,-2.94753394e-02,1.03861588e+00,1.55829024e+00
2.25000000e-01,9.97248450e-01,3.64973551e-03,9.95534702e-01,1.49323403e+00
2.35000000e-01,9.71746651e-01,3.69659861e-02,9.53305190e-01,1.43055023e+00
2.45000000e-01,9.46642576e-01,7.04198909e-02,9.12426738e-01,1.37091886e+00
2.55000000e-01,9.21917193e-01,1.03955239e-01,8.72899293e-01,1.31426491e+00
2.65000000e-01,8.97608447e-01,1.37537359e-01,8.34764549e-01,1.26057404e+00
2.75000000e-01,8.73769124e-01,1.71180339e-01,7.97985562e-01,1.20972040e+00
2.85000000e-01,8.50293623e-01,2.04813974e-01,7.62452289e-01,1.16145564e+00
2.95000000e-01,8.27197974e-01,2.38432130e-01,7.28125695e-01,1.11564699e+00
3.05000000e-01,8.04553928e-01,2.72083095e-01,6.95034506e-01,1.07227988e+00
3.15000000e-01,7.82332532e-01,3.05779335e-01,6.63147699e-01,1.03124625e+00
3.25000000e-01,7.60433956e-01,3.39484546e-01,6.32393722e-01,9.92363071e-01
3.35000000e-01,7.38824772e-01,3.73183850e-01,6.02738535e-01,9.55509254e-01
3.45000000e-01,7.17595320e-01,4.06919599e-01,5.74211298e-01,9.20684878e-01
3.55000000e-01,6.96845517e-01,4.40724044e-01,5.46817259e-01,8.87861708e-01
3.65000000e-01,6.76571120e-01,4.74550257e-01,5.20483096e-01,8.56866823e-01
3.75000000e-01,6.56719852e-01,5.08331452e-01,4.95155096e-01,8.27543997e-01
3.85000000e-01,6.37229079e-01,5.42014361e-01,4.70797549e-01,7.99763457e-01
3.95000000e-01,6.18095452e-01,5.75590195e-01,4.47420057e-01,7.73485301e-01
4.05000000e-01,5.99394020e-01,6.09106244e-01,4.25075215e-01,7.48771656e-01
4.15000000e-01,5.81219428e-01,6.42552620e-01,4.03803015e-01,7.25659396e-01
4.25000000e-01,5.63622692e-01,6.75767996e-01,3.83592613e-01,7.04052792e-01
4.35000000e-01,5.46650543e-01,7.08454243e-01,3.64453436e-01,6.83836801e-01
4.45000000e-01,5.30429116e-01,7.40187361e-01,3.46505815e-01,6.65037780e-01
4.55000000e-01,5.15250834e-01,7.70320155e-01,3.30048369e-01,6.47920957e-01
4.65000000e-01,5.01666220e-01,7.97740718e-01,3.15619704e-01,6.33033632e-01
4.75000000e-01,4.90573321e-01,8.20531691e-01,3.04063187e-01,6.21216680e-01
4.85000000e-01,4.83665283e-01,8.37102464e-01,2.96980535e-01,6.14910464e-01
4.95000000e-01,4.79940595e-01,8.42141969e-01,2.92170549e-01,6.08421589e-01
5.05000000e-01,4.77519229e-01,8.44113919e-01,2.91944560e-01,6.08017929e-01
5.15000000e-01,4.79049575e-01,8.41116268e-01,2.93026469e-01,6.08975905e-01
5.25000000e-01,4.79049596e-01,8.41140165e-01,2.93771568e-01,6.10103134e-01
5.35000000e-01,4.78298617e-01,8.42348291e-01,2.93289927e-01,6.09601440e-01
5.45000000e-01,4.78423628e-01,8.43385313e-01,2.92856957e-01,6.09414546e-01
5.55000000e-01,4.80174325e-01,8.41906099e-01,2.93574704e-01,6.10515231e-01
5.65000000e-01,4.85297207e-01,8.39420856e-01,2.94708593e-01,6.13017636e-01
5.75000000e-01,4.85987436e-01,8.37508898e-01,2.95651527e-01,6.13896052e-01
5.85000000e-01,4.84098589e-01,8.40164759e-01,2.94147526e-01,6.12056217e-01
5.95000000e-01,4.79021449e-01,8.44756781e-01,2.93322867e-01,6.10880513e-01
6.05000000e-01,4.78379791e-01,8.46241047e-01,2.92803543e-01,6.10472958e-01
6.15000000e-01,4.80082528e-01,8.44941330e-01,2.93239376e-01,6.11208736e-01
6.25000000e-01,4.88654227e-01,8.41984373e-01,2.93855055e-01,6.13973243e-01
6.35000000e-01,4.97560115e-01,8.37989051e-01,2.94845534e-01,6.16945926e-01
6.45000000e-01,4.95713692e-01,8.35571414e-01,2.95193420e-01,6.15816583e-01
6.55000000e-01,4.81063603e-01,8.41224408e-01,2.92076801e-01,6.08307672e-01
6.65000000e-01,4.10989590e-01,8.44284364e-01,2.91860760e-01,5.84249247e-01
6.75000000e-01,2.60485750e-01,8.38516616e-01,2.94008294e-01,5.32565474e-01
6.85000000e-01,2.12914020e-01,8.34709623e-01,2.94958007e-01,5.16587763e-01
6.95000000e-01,2.12610045e-01,8.36955162e-01,2.93889852e-01,5.15278762e-01
7.05000000e-01,2.14574580e-01,8.40711517e-01,2.93125444e-01,5.15496394e-01
7.15000000e-01,2.21088870e-01,8.44055684e-01,2.93532900e-01,5.19032508e-01
7.25000000e-01,2.27338491e-01,8.43897766e-01,2.93742680e-01,5.21543071e-01
7.35000000e-01,2.29703996e-01,8.43640645e-01,2.93936093e-01,5.22625654e-01
7.45000000e-01,2.31359704e-01,8.35994634e-01,2.96515478e-01,5.25598127e-01
7.55000000e-01,2.31502403e-01,8.30638866e-01,2.98006783e-01,5.26851631e-01
7.65000000e-01,2.29417794e-01,8.42993080e-01,2.93896611e-01,5.22339300e-01
7.75000000e-01,2.28016620e-01,8.49436352e-01,2.90873250e-01,5.18549858e-01
7.85000000e-01,2.29628357e-01,8.32921472e-01,2.93955424e-01,5.20564365e-01
7.95000000e-01,2.30127159e-01,8.36955014e-01,2.94885502e-01,5.22907450e-01
8.05000000e-01,2.30641958e-01,8.50703893e-01,2.94151391e-01,5.24662486e-01
8.15000000e-01,2.32133810e-01,8.60397734e-01,2.96231966e-01,5.30248236e-01
