x,rho,vx,P,E
5.00000000e-03,9.99945641e-01,7.01790786e-05,9.99909408e-01,1.49978913e+00
1.50000000e-02,1.00007608e+00,-9.82223662e-05,1.00012681e+00,1.50011521e+00
2.50000000e-02,1.00022732e+00,-2.93506946e-04,1.00037894e+00,1.50049344e+00
3.50000000e-02,9.99836140e-01,2.11613598e-04,9.99726941e-01,1.49951546e+00
4.50000000e-02,9.99245640e-01,9.74140750e-04,9.98743492e-01,1.49804081e+00
5.50000000e-02,1.00036042e+00,-4.66247263e-04,1.00060092e+00,1.50082645e+00
6.50000000e-02,1.00139610e+00,-1.80143780e-03,1.00232839e+00,1.50341903e+00
7.50000000e-02,1.00079611e+00,-1.03021486e-03,1.00133191e+00,1.50192330e+00
8.50000000e-02,9.97520349e-01,3.20180747e-03,9.95872909e-01,1.49373979e+00
9.50000000e-02,9.94924731e-01,6.56399290e-03,9.91565098e-01,1.48729472e+00
1.05000000e-01,1.00106132e+00,-1.39460213e-03,1.00177865e+00,1.50259381e+00
1.15000000e-01,1.00790415e+00,-1.01749610e-02,1.01322130e+00,1.51980813e+00
1.25000000e-01,1.01392466e+00,-1.79832198e-02,1.02338002e+00,1.53515723e+00
1.35000000e-01,9.99117383e-01,1.27134055e-03,9.98482524e-01,1.49764971e+00
1.45000000e-01,9.79985350e-01,2.59152148e-02,9.67004805e-01,1.45076376e+00
1.55000000e-01,9.70220674e-01,3.86866704e-02,9.51252142e-01,1.42753292e+00
1.65000000e-01,1.00753323e+00,-1.00607274e-02,1.01278229e+00,1.51914848e+00
1.75000000e-01,1.04156608e+00,-5.27150965e-02,1.07021774e+00,1.60669354e+00
1.85000000e-01,1.06499818e+00,-8.25856317e-02,1.11123198e+00,1.67039648e+00
1.95000000e-01,1.07343236e+00,-9.32757326e-02,1.12610385e+00,1.69374095e+00
2.05000000e-01,1.04851577e+00,-6.17073274e-02,1.08236010e+00,1.62545524e+00
2.15000000e-01,1.02359875e+00,-3.00935295e-02,1.03956709e+00,1.55973616e+00
2.25000000e-01,9.97523890e-01,2.61489284e-03,9.96747150e-01,1.49504938e+00
2.35000000e-01,9.72856266e-01,3.54887933e-02,9.55156988e-01,1.43327648e+00
